Parameter Settings																																
LaCyTools Version	2.0.1																															
LaCyTools Build	20201216																															
Calibration Parameters																																
CALIB_MASS_WINDOW	0.2																															
CALIB_S_N_CUTOFF	27																															
CALIB_MIN_PEAK	4																															
Extraction Parameters																																
SUM_SPECTRUM_RESOLUTION	100																															
MASS_WINDOW	0.1																															
TIME_WINDOW	10																															
MIN_CHARGE	2																															
MAX_CHARGE	3																															
MIN_TOTAL	0.9																															
BACKGROUND_WINDOW	10																															
																																
Absolute Intensity (Background Subtracted, 2+)	IgGI1H5N2	IgGI1H6N2	IgGI1H5N3	IgGI1H5N3F1	IgGI1H6N3	IgGI1H6N3F1	IgGI1H3N3	IgGI1H3N3F1	IgGI1H4N3	IgGI1H4N3F1	IgGI1H3N4	IgGI1H3N4F1	IgGI1H4N4	IgGI1H4N4F1	IgGI1H3N5	IgGI1H3N5F1	IgGI1H5N4	IgGI1H5N4F1	IgGI1H4N5	IgGI1H4N5F1	IgGI1H5N5	IgGI1H5N5F1	IgGI1H4N4F1S1	IgGI1H4N5F1S1	IgGI1H4N4S1	IgGI1H5N4S1	IgGI1H5N4F1S1	IgGI1H4N5S1	IgGI1H5N5S1	IgGI1H5N5F1S1	IgGI1H5N4S2	IgGI1H5N4F1S2
Fraction	0.938933776	0.928146882	0.925198342	0.91415346	0.913367405	0.901596099	0.946424193	0.936942312	0.936229661	0.925949367	0.933453672	0.922941934	0.922179356	0.910911253	0.919090187	0.907600778	0.91011456	0.962305248	0.906793692	0.960660177	0.960210759	0.953814889	0.957089849	0.947962401	0.96321064	0.956622851	0.949921781	0.954828344	0.947453024	0.940008658	0.943282946	0.935537795
Exact mass of most abundant isotopologue	[1203.9726161653891]	[1284.9990374667855]	[1305.5123056025184]	[1378.5412685724175]	[1386.5387260448579]	[1459.567688155043]	[1143.459461458386]	[1216.488426639768]	[1224.4858841373211]	[1297.5148481183746]	[1244.999152393576]	[1318.0281165180265]	[1326.02557400047]	[1399.0545371187573]	[1346.5388426448847]	[1419.5678058935518]	[1407.0519945897695]	[1480.0809568497966]	[1427.5652633631255]	[1500.5942257566583]	[1508.5916832163723]	[1581.6206448725472]	[1544.6022514818471]	[1646.14193955238]	[1471.5732894678354]	[1552.5997089370617]	[1625.6286702643677]	[1573.1129781043744]	[1654.139396998329]	[1727.1683578475408]	[1698.1474222980485]	[1771.176382877912]
