Plate #1;1;2;3;4;5;6;7;8;9;10;11;12
A;PH_232;PD_58;PH_199;duplicate;PH_235;PC_66;PH_276;pool;AH_1242587c;CN_41;MLFSM_0656979h;PH_192
B;PH_13;duplicate;PC_67;PD_15;HSC_0051593c;PH_150;PBS;CN_73;PH_133;PC_18;PH_261;pool
C;PD_85;PH_75;Visucon;PC_59;PH_259;PH_37;PH_44;PH_253;duplicate;CN_79;PH_283;PD_48
D;PC_15;PH_09;PD_44;MPS_0811318i;PH_85;duplicate;PH_228;PC_60;CN_35;PBS;Visucon;PH_223
E;PH_164;PC_05;PH_219;CN_52;PH_262;PH_22;PH_122;PD_75;FMV_1307324b;duplicate;CN_72;PC_32
F;PH_33;CN_33;duplicate;pool;CN_86;PH_275;PH_161;CS_577911b;PH_233;PH_237;PC_71;duplicate
G;CN_16;PH_176;CN_10;PH_168;PH_171;PC_09;CN_07;duplicate;PH_06;PD_81;duplicate;PH_229
H;pool;PC_56;PH_93;PH_245;duplicate;CN_15;PH_264;PH_67;PD_16;JA_0710508e;PC_65;CN_50
;;;;;;;;;;;;
Plate #2;1;2;3;4;5;6;7;8;9;10;11;12
A;PBS;PH_260;PD_59;duplicate;PH_240;CN_84;PH_25;LAM_0867873d;CN_44;duplicate;PC_62;PH_274
B;PD_21;CN_42;PH_281;JDS_0559824b;duplicate;pool;PC_53;PH_191;PH_21;PH_100;PH_250;PC_01
C;PC_26;PH_205;duplicate;pool;CN_64;PH_152;PH_129;duplicate;PD_18;CN_45;DL_0707483e;PH_179
D;PH_10;PD_54;PC_73;PH_78;PH_131;CN_87;PH_193;PH_51;duplicate;PH_28;PH_197;duplicate
E;pool;PC_39;PH_148;PD_83;PH_214;PC_10;JLS_1595080h;PBS;CN_49;PC_28;PH_188;AFSR_0618995i
F;PH_185;CN_85;Visucon;PH_167;CCM_1199655g;PD_46;PH_272;PH_187;AOT_0243023d;PH_71;PD_09;CN_27
G;PC_36;duplicate;CN_71;PC_29;PH_217;PH_210;duplicate;CN_62;PH_112;pool;PH_116;PD_82
