Parameter Settings																										
LaCyTools Version	1.1.0-alpha																									
LaCyTools Build	190207b																									
Extraction Parameters																										
SUM_SPECTRUM_RESOLUTION	100																									
MASS_WINDOW	0.04																									
TIME_WINDOW	8																									
MIN_CHARGE	2																									
MAX_CHARGE	3																									
MIN_TOTAL	0.95																									
BACKGROUND_WINDOW	10																									
																										
Absolute Intensity (Background Subtracted, 2+)	IgGI1H3N4	IgGI1H4N4	IgGI1H5N4	IgGI1H3N5	IgGI1H4N5	IgGI1H5N5	IgGI1H3N4F1	IgGI1H4N4F1	IgGI1H5N4F1	IgGI1H3N5F1	IgGI1H4N5F1	IgGI1H5N5F1	IgGI1H4N4S1	IgGI1H5N4S1	IgGI1H5N4S2	IgGI1H4N5S1	IgGI1H5N5S1	IgGI1H4N4F1S1	IgGI1H5N4F1S1	IgGI1H5N4F1S2	IgGI1H4N5F1S1	IgGI1H5N5F1S1	IgGI1H4N5F2	IgGI1H5N5F2	IgGI1H4N4F2S1	IgGI1H5N4F2S1
Fraction	0.978335887	0.973446769	0.967959697	0.972130484	0.966475822	0.960210759	0.973817224	0.968364975	0.962305248	0.966891046	0.960660177	0.953814889	0.96321064	0.956622851	0.979382475	0.954828344	0.981262795	0.957089849	0.982337811	0.975829405	0.981505389	0.977914576	0.954296081	0.981012967	0.950420079	0.979115684
Monoisotopic Mass	[1244.999152393576]	[1326.02557400047]	[1407.0519945897695]	[1346.5388426448847]	[1427.5652633631255]	[1508.5916832163723]	[1318.0281165180265]	[1399.0545371187573]	[1480.0809568497966]	[1419.5678058935518]	[1500.5942257566583]	[1581.6206448725472]	[1471.5732894678354]	[1552.5997089370617]	[1698.1474222980485]	[1573.1129781043744]	[1654.139396998329]	[1544.6022514818471]	[1625.6286702643677]	[1771.176382877912]	[1646.14193955238]	[1727.1683578475408]	[1573.6231874215257]	[1654.6496058962548]	[1617.6312128173681]	[1698.6576310008422]
alignedLin_38122IM5_plA_SpikeSpecific_A01_01 20201124_000005.raw	541.4	1244.128	277.8	363.76	607.98	425.304	6022.848	2088.876	1658.564	1815.936	556.248	348.784	374.008	179.52	182.56	189.68	81.72	252.36	575.312	153.46	465.04	195.504	124.312	107.26	131.976	109.544
alignedLin_38122IM5_plA_SpikeSpecific_A02_01 20201124_000006.raw	440.552	1139.892	438.24	379.64	205.532	333.876	6761.98	1464.732	1119.292	1252.76	287.78	299.78	564.604	199.008	72.64	241.72	281.816	446.628	524.172	150.012	372.792	255.268	229.808	295.456	94.776	27.244
alignedLin_38122IM5_plA_SpikeSpecific_A03_01 20201124_000007.raw	640.14	3196.816	1257.6	540.724	182.28	407.86	80802.532	87437.56	57429.736	7997.104	6773.336	1519.992	660.748	322.748	163.82	120.384	196.848	2079.58	12196.832	286.604	521.084	113.4	93.7	172.12	316.552	106.6
alignedLin_38122IM5_plA_SpikeSpecific_A04_01 20201124_000008.raw	2676.724	6870.324	3425.5	417.38	923.208	526.976	110385.4	196554.36	110051.968	17940.184	23734.488	5058.648	894.42	670.156	117.236	300.84	167.008	5897.228	29242.768	515.452	900.336	501.056	147.36	167.98	346.54	109.012
